iter	Passed	Remaining
879	36654	4998
880	36693	4956
881	36737	4915
882	36776	4873
883	36826	4832
884	36865	4790
885	36940	4753
886	36980	4711
887	37020	4669
888	37061	4627
889	37100	4585
890	37145	4544
891	37186	4502
892	37234	4461
893	37276	4419
894	37316	4377
895	37358	4336
896	37409	4295
897	37465	4255
898	37506	4213
899	37546	4171
900	37594	4130
901	37632	4088
902	37675	4047
903	37715	4005
904	37755	3963
905	37793	3921
906	37831	3879
907	37871	3837
908	37923	3796
909	37963	3754
910	38003	3712
911	38042	3670
912	38083	3628
913	38144	3589
914	38213	3549
915	38254	3508
916	38307	3467
917	38345	3425
918	38390	3383
919	38429	3341
920	38470	3299
921	38511	3258
922	38552	3216
923	38593	3174
924	38635	3132
925	38678	3090
926	38721	3049
927	38761	3007
928	38800	2965
929	38842	2923
930	38882	2881
931	38924	2839
932	38965	2798
933	39004	2756
934	39044	2714
935	39085	2672
936	39144	2631
937	39186	2590
938	39225	2548
939	39268	2506
940	39307	2464
941	39350	2422
942	39393	2381
943	39435	2339
944	39476	2297
945	39518	2255
946	39558	2213
947	39612	2172
948	39651	2130
949	39690	2088
950	39742	2047
951	39808	2007
952	39848	1965
953	39894	1923
954	39937	1881
955	39988	1840
956	40029	1798
957	40069	1756
958	40109	1714
959	40154	1673
960	40196	1631
961	40237	1589
962	40277	1547
963	40318	1505
964	40357	1463
965	40399	1421
966	40437	1379
967	40493	1338
968	40535	1296
969	40575	1254
970	40615	1213
971	40654	1171
972	40693	1129
973	40734	1087
974	40775	1045
975	40817	1003
976	40858	961
977	40903	920
978	40943	878
979	40985	836
980	41026	794
981	41066	752
982	41113	711
983	41156	669
984	41198	627
985	41250	585
986	41291	543
987	41331	502
988	41376	460
989	41422	418
990	41474	376
991	41514	334
992	41553	292
993	41594	251
994	41636	209
995	41677	167
996	41718	125
997	41758	83
998	41798	41
999	41838	0
